std_smiles,expt_test,database
CC(C)C(C#N)C(=O)Cl,0,emolecules
CC(C)(C#N)CS(=O)(=O)F,0,emolecules
CC(F)(F)CCC#N,0,emolecules
O=C(F)C(F)(C(F)(F)F)C(F)(F)F,0,emolecules
O=C1CCC(F)(F)C(=O)O1,0,emolecules
O=C1CC(C(F)C(F)(F)F)C(=O)O1,0,emolecules
N#CC1CC1,0,emolecules
O=C(Cl)SCl,0,emolecules
CC(C)(C#N)CC#N,0,emolecules
FC(F)(F)C(F)(Cl)C(F)(F)Cl,0,emolecules
CCC(=O)F,0,emolecules
O=S(=O)(Cl)C(F)(F)F,0,emolecules
O=C(Cl)OCCl,0,emolecules
CC(C)(C#N)C(F)(F)C(F)(F)F,0,emolecules
N#CC1CC(F)(F)C1(F)F,0,emolecules
CP(C)(=O)CC#N,0,emolecules
N#CCCCCl,0,emolecules
FC(F)CC(F)F,0,emolecules
COC(C)CC#N,0,emolecules
O=C(OCCl)C(F)(F)Cl,0,emolecules
O=C1OC(=O)C(F)(F)C(F)(F)C1(F)F,0,emolecules
CC(C)C(C#N)C=O,0,emolecules
COC(=O)C(C)(F)F,0,emolecules
FC(F)(Cl)C(F)(Cl)Cl,0,emolecules
CC1C(C#N)C1(F)F,0,emolecules
N#CC1CC1C(F)(F)F,0,emolecules
CCC(C)(C#N)CC,0,emolecules
O=S(=O)(Cl)C(F)Cl,0,emolecules
CCCCCC#N,0,emolecules
O=C(OC(=O)C(F)(F)Cl)C(F)(F)Cl,0,emolecules
COC(=O)C(F)(F)C(F)(F)Cl,0,emolecules
CCC(C#N)S(=O)(=O)F,0,emolecules
COC(=O)C(=O)CC#N,0,emolecules
COC(=O)C(F)(F)C(F)(F)F,0,emolecules
O=C(F)C(F)(F)C(F)(F)C(=O)F,0,emolecules
O=S(=O)(F)C(F)(F)C(F)(F)F,0,emolecules
CC(C)(C#N)C(F)C(F)(F)F,0,emolecules
CC(C)C1CC(=O)OC1=O,0,emolecules
CC1(C)OC(=O)C(C=O)C(=O)O1,0,emolecules
CC(F)(F)S(=O)(=O)F,0,emolecules
COC(F)(F)C(F)(F)C#N,0,emolecules
CC(C(F)(F)F)C(F)(F)F,0,emolecules
CC(C)(C#N)CCF,0,emolecules
FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Cl,0,emolecules
N#CC1(C(F)(F)C(F)F)CC1,0,emolecules
O=C(F)C(F)(F)S(=O)(=O)F,0,emolecules
CCC1(C)CC(=O)OC1=O,0,emolecules
O=C(Cl)C(=O)Cl,0,emolecules
O=C(Cl)C(F)(F)C(F)(F)Cl,0,emolecules
FCC(F)Cl,0,emolecules
COC(=O)C(F)(F)C(F)F,0,emolecules
O=C(F)C(C(F)(F)F)C(F)(F)F,0,emolecules
CCC(C)C(C)C#N,0,emolecules
O=CN(C=O)C=O,0,emolecules
O=C1CC(CC(F)(F)C(F)(F)F)C(=O)O1,0,emolecules
O=S(=O)(Cl)C(F)F,0,emolecules
CCCC(F)(F)C(F)(F)F,0,emolecules
FC(F)(F)C1(C(F)(F)F)OC1(F)F,0,emolecules
CC(C#N)C(=O)C(F)(F)F,0,emolecules
FC(F)C(F)(F)C(F)(F)C(F)(F)Cl,0,emolecules
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,0,emolecules
CC(C(=O)F)(C(F)(F)F)C(F)(F)F,0,emolecules
N#CCCCS(=O)(=O)F,0,emolecules
FCC(F)(Cl)Cl,0,emolecules
CCC(C)(C#N)CC#N,0,emolecules
N#CCCC(C(F)(F)F)C(F)(F)F,0,emolecules
N#CC1CC(F)(F)C1(F)Cl,0,emolecules
CC(CC#N)S(=O)(=O)F,0,emolecules
FC(Cl)C(F)(Cl)Cl,0,emolecules
FC(F)(F)CC(F)(F)Cl,0,emolecules
CC1C(=O)OC(=O)C1C,0,emolecules
CCOC(=O)C(F)(F)Cl,0,emolecules
O=S(=O)(F)CF,0,emolecules
CCOC(=O)C=O,0,emolecules
N#CCC1CC1(F)F,0,emolecules
N#CC1(C(F)(F)F)CCC1,0,emolecules
CC(F)(F)C(=O)Cl,0,emolecules
O=S(=O)(F)C(F)Cl,0,emolecules
O=C(OC(=O)C(F)(F)C(F)F)C(F)(F)C(F)F,0,emolecules
CC(F)(F)CCCC#N,0,emolecules
CCOC(=O)C(F)(F)F,0,emolecules
CC(=O)C(C#N)C#N,0,emolecules
N#CCCCC(F)(F)C(F)(F)F,0,emolecules
FCCC(F)F,0,emolecules
CC(C#N)C(C(F)(F)F)C(F)(F)F,0,emolecules
CC(F)(F)C1(C#N)CC1,0,emolecules
CC(C#N)C(C)(C)C,0,emolecules
CC(C)(C)C(C#N)C#N,0,emolecules
