epoch,train_total,train_recon,train_kld,val_total,val_recon,val_kld,lr
1.0,1176.0352935791016,1176.012939453125,0.022344441851601005,579.6959838867188,579.6235961914062,0.07236222922801971,0.001
2.0,267.70102882385254,267.4492473602295,0.2517766449600458,76.32064819335938,75.16827392578125,1.152372121810913,0.001
3.0,82.94027137756348,80.85857772827148,2.081693559885025,108.30386352539062,105.72802734375,2.5758397579193115,0.001
4.0,87.73637771606445,85.73831939697266,1.9980584383010864,89.0309829711914,88.16761779785156,0.8633651733398438,0.001
5.0,74.49209022521973,73.93767738342285,0.5544113963842392,78.7731704711914,78.576171875,0.1969975233078003,0.001
6.0,66.37216854095459,66.23743057250977,0.13474002480506897,79.9098892211914,79.85252380371094,0.05736493319272995,0.001
7.0,61.590012550354004,61.54780197143555,0.0422100150026381,78.63294982910156,78.60965728759766,0.023290935903787613,0.001
8.0,55.23050403594971,55.21124267578125,0.01926137856207788,75.7114486694336,75.698486328125,0.01296224445104599,0.001
9.0,54.3627405166626,54.35120105743408,0.011539200088009238,73.0033187866211,72.99431610107422,0.009003108367323875,0.001
10.0,55.27274227142334,55.264204025268555,0.008538137772120535,72.1419906616211,72.13448333740234,0.007506867405027151,0.001
11.0,52.21748733520508,52.20981693267822,0.007670132676139474,68.78870391845703,68.78154754638672,0.007159555796533823,0.001
12.0,49.6246452331543,49.617027282714844,0.007618382340297103,72.06293487548828,72.05503845214844,0.007894529961049557,0.001
13.0,48.66771221160889,48.65859889984131,0.009112638188526034,71.13926696777344,71.12944030761719,0.009827543050050735,0.001
14.0,49.18612575531006,49.17430782318115,0.011818407801911235,67.59989166259766,67.5860595703125,0.013828551396727562,0.001
15.0,46.095266342163086,46.077630043029785,0.01763676223345101,66.1954345703125,66.17547607421875,0.019961850717663765,0.001
16.0,45.86343860626221,45.841346740722656,0.022092698141932487,70.5406494140625,70.51435089111328,0.026296688243746758,0.001
17.0,47.06177520751953,47.0344123840332,0.027363734785467386,67.80420684814453,67.77067565917969,0.033528055995702744,0.001
18.0,46.1179895401001,46.085448265075684,0.03254191158339381,64.99169921875,64.9477310180664,0.043969448655843735,0.001
19.0,46.067320823669434,46.02574157714844,0.04157890100032091,67.35870361328125,67.30067443847656,0.058031294494867325,0.001
20.0,46.665263175964355,46.61354923248291,0.05171486735343933,67.00926971435547,66.93317413330078,0.07609592378139496,0.001
